x,z,t,T,x_norm,z_norm,t_norm,T_norm
2.5,2.0,410.0,161.0,0.8333333333333334,1.0,0.6833333333333333,0.25824175824175827
2.5,2.0,415.0,151.0,0.8333333333333334,1.0,0.6916666666666667,0.23992673992673993
2.5,2.0,420.0,146.0,0.8333333333333334,1.0,0.7,0.23076923076923078
2.5,2.0,425.0,144.0,0.8333333333333334,1.0,0.7083333333333334,0.2271062271062271
2.5,2.0,430.0,145.0,0.8333333333333334,1.0,0.7166666666666667,0.22893772893772893
2.5,2.0,435.0,145.0,0.8333333333333334,1.0,0.725,0.22893772893772893
2.5,2.0,440.0,142.0,0.8333333333333334,1.0,0.7333333333333333,0.22344322344322345
2.5,2.0,445.0,135.0,0.8333333333333334,1.0,0.7416666666666667,0.21062271062271062
2.5,2.0,450.0,128.0,0.8333333333333334,1.0,0.75,0.1978021978021978
2.5,2.0,455.0,129.0,0.8333333333333334,1.0,0.7583333333333333,0.19963369963369965
2.5,2.0,460.0,128.0,0.8333333333333334,1.0,0.7666666666666667,0.1978021978021978
2.5,2.0,465.0,128.0,0.8333333333333334,1.0,0.775,0.1978021978021978
2.5,2.0,470.0,129.0,0.8333333333333334,1.0,0.7833333333333333,0.19963369963369965
2.5,2.0,475.0,120.0,0.8333333333333334,1.0,0.7916666666666666,0.18315018315018314
2.5,2.0,480.0,117.0,0.8333333333333334,1.0,0.8,0.17765567765567766
2.5,2.0,485.0,117.0,0.8333333333333334,1.0,0.8083333333333333,0.17765567765567766
2.5,2.0,490.0,115.0,0.8333333333333334,1.0,0.8166666666666667,0.17399267399267399
2.5,2.0,495.0,111.0,0.8333333333333334,1.0,0.825,0.16666666666666666
2.5,2.0,500.0,107.0,0.8333333333333334,1.0,0.8333333333333334,0.15934065934065933
2.5,2.0,505.0,109.0,0.8333333333333334,1.0,0.8416666666666667,0.163003663003663
2.5,2.0,510.0,106.0,0.8333333333333334,1.0,0.85,0.1575091575091575
2.5,2.0,515.0,108.0,0.8333333333333334,1.0,0.8583333333333333,0.16117216117216118
2.5,2.0,520.0,104.0,0.8333333333333334,1.0,0.8666666666666667,0.15384615384615385
2.5,2.0,525.0,105.0,0.8333333333333334,1.0,0.875,0.15567765567765568
2.5,2.0,530.0,104.0,0.8333333333333334,1.0,0.8833333333333333,0.15384615384615385
2.5,2.0,535.0,104.0,0.8333333333333334,1.0,0.8916666666666667,0.15384615384615385
2.5,2.0,540.0,101.0,0.8333333333333334,1.0,0.9,0.14835164835164835
2.5,2.0,545.0,96.8,0.8333333333333334,1.0,0.9083333333333333,0.14065934065934066
2.5,2.0,550.0,96.2,0.8333333333333334,1.0,0.9166666666666666,0.13956043956043956
2.5,2.0,555.0,97.7,0.8333333333333334,1.0,0.925,0.1423076923076923
2.5,2.0,560.0,96.2,0.8333333333333334,1.0,0.9333333333333333,0.13956043956043956
2.5,2.0,565.0,91.0,0.8333333333333334,1.0,0.9416666666666667,0.13003663003663005
2.5,2.0,570.0,91.0,0.8333333333333334,1.0,0.95,0.13003663003663005
2.5,2.0,575.0,91.6,0.8333333333333334,1.0,0.9583333333333334,0.1311355311355311
2.5,2.0,580.0,90.9,0.8333333333333334,1.0,0.9666666666666667,0.12985347985347986
2.5,2.0,585.0,89.9,0.8333333333333334,1.0,0.975,0.12802197802197804
2.5,2.0,590.0,88.7,0.8333333333333334,1.0,0.9833333333333333,0.12582417582417582
2.5,2.0,595.0,87.3,0.8333333333333334,1.0,0.9916666666666667,0.12326007326007325
2.5,2.0,600.0,87.4,0.8333333333333334,1.0,1.0,0.12344322344322345
4.0,0.0,0.0,20.0,1.3333333333333333,0.0,0.0,0.0
4.0,0.0,5.01,20.0,1.3333333333333333,0.0,0.00835,0.0
4.0,0.0,10.0,20.3,1.3333333333333333,0.0,0.016666666666666666,0.0005494505494505508
4.0,0.0,15.0,20.6,1.3333333333333333,0.0,0.025,0.0010989010989011015
4.0,0.0,20.0,20.9,1.3333333333333333,0.0,0.03333333333333333,0.0016483516483516457
4.0,0.0,25.0,21.8,1.3333333333333333,0.0,0.041666666666666664,0.003296703296703298
4.0,0.0,30.0,22.5,1.3333333333333333,0.0,0.05,0.004578754578754579
4.0,0.0,35.0,22.8,1.3333333333333333,0.0,0.058333333333333334,0.00512820512820513
4.0,0.0,40.0,23.2,1.3333333333333333,0.0,0.06666666666666667,0.00586080586080586
4.0,0.0,45.0,23.5,1.3333333333333333,0.0,0.075,0.00641025641025641
4.0,0.0,50.0,24.2,1.3333333333333333,0.0,0.08333333333333333,0.007692307692307691
4.0,0.0,55.0,24.9,1.3333333333333333,0.0,0.09166666666666666,0.008974358974358972
4.0,0.0,60.0,25.7,1.3333333333333333,0.0,0.1,0.010439560439560439
4.0,0.0,65.0,26.0,1.3333333333333333,0.0,0.10833333333333334,0.01098901098901099
4.0,0.0,70.0,26.2,1.3333333333333333,0.0,0.11666666666666667,0.011355311355311355
4.0,0.0,75.0,26.4,1.3333333333333333,0.0,0.125,0.01172161172161172
4.0,0.0,80.0,26.5,1.3333333333333333,0.0,0.13333333333333333,0.011904761904761904
4.0,0.0,85.0,26.7,1.3333333333333333,0.0,0.14166666666666666,0.012271062271062269
4.0,0.0,90.0,27.1,1.3333333333333333,0.0,0.15,0.013003663003663006
4.0,0.0,95.0,27.2,1.3333333333333333,0.0,0.15833333333333333,0.013186813186813185
4.0,0.0,100.0,27.6,1.3333333333333333,0.0,0.16666666666666666,0.013919413919413922
4.0,0.0,105.0,27.9,1.3333333333333333,0.0,0.175,0.014468864468864466
4.0,0.0,110.0,28.1,1.3333333333333333,0.0,0.18333333333333332,0.014835164835164838
4.0,0.0,115.0,28.3,1.3333333333333333,0.0,0.19166666666666668,0.015201465201465203
4.0,0.0,120.0,28.6,1.3333333333333333,0.0,0.2,0.015750915750915754
4.0,0.0,125.0,29.2,1.3333333333333333,0.0,0.20833333333333334,0.01684981684981685
4.0,0.0,130.0,29.3,1.3333333333333333,0.0,0.21666666666666667,0.017032967032967035
4.0,0.0,135.0,30.4,1.3333333333333333,0.0,0.225,0.019047619047619046
4.0,0.0,140.0,30.9,1.3333333333333333,0.0,0.23333333333333334,0.019963369963369962
4.0,0.0,145.0,30.6,1.3333333333333333,0.0,0.24166666666666667,0.019413919413919418
4.0,0.0,150.0,31.3,1.3333333333333333,0.0,0.25,0.0206959706959707
4.0,0.0,155.0,31.0,1.3333333333333333,0.0,0.25833333333333336,0.020146520146520148
4.0,0.0,160.0,31.5,1.3333333333333333,0.0,0.26666666666666666,0.021062271062271064
4.0,0.0,165.0,32.0,1.3333333333333333,0.0,0.275,0.02197802197802198
4.0,0.0,170.0,32.7,1.3333333333333333,0.0,0.2833333333333333,0.023260073260073264
4.0,0.0,175.0,33.5,1.3333333333333333,0.0,0.2916666666666667,0.024725274725274724
4.0,0.0,180.0,34.3,1.3333333333333333,0.0,0.3,0.026190476190476184
4.0,0.0,185.0,33.6,1.3333333333333333,0.0,0.30833333333333335,0.02490842490842491
4.0,0.0,190.0,34.0,1.3333333333333333,0.0,0.31666666666666665,0.02564102564102564
4.0,0.0,195.0,35.1,1.3333333333333333,0.0,0.325,0.027655677655677658
4.0,0.0,200.0,34.1,1.3333333333333333,0.0,0.3333333333333333,0.025824175824175826
4.0,0.0,205.0,34.1,1.3333333333333333,0.0,0.3416666666666667,0.025824175824175826
4.0,0.0,210.0,34.4,1.3333333333333333,0.0,0.35,0.02637362637362637
4.0,0.0,215.0,35.0,1.3333333333333333,0.0,0.35833333333333334,0.027472527472527472
4.0,0.0,220.0,35.2,1.3333333333333333,0.0,0.36666666666666664,0.027838827838827844
4.0,0.0,225.0,35.9,1.3333333333333333,0.0,0.375,0.029120879120879118
4.0,0.0,230.0,35.6,1.3333333333333333,0.0,0.38333333333333336,0.028571428571428574
4.0,0.0,235.0,35.8,1.3333333333333333,0.0,0.39166666666666666,0.028937728937728932
4.0,0.0,240.0,36.9,1.3333333333333333,0.0,0.4,0.03095238095238095
4.0,0.0,245.0,38.1,1.3333333333333333,0.0,0.4083333333333333,0.03315018315018315
4.0,0.0,250.0,37.9,1.3333333333333333,0.0,0.4166666666666667,0.03278388278388278
4.0,0.0,255.0,38.7,1.3333333333333333,0.0,0.425,0.03424908424908425
4.0,0.0,260.0,37.8,1.3333333333333333,0.0,0.43333333333333335,0.032600732600732596
4.0,0.0,265.0,35.9,1.3333333333333333,0.0,0.44166666666666665,0.029120879120879118
4.0,0.0,270.0,34.8,1.3333333333333333,0.0,0.45,0.0271062271062271
4.0,0.0,275.0,34.0,1.3333333333333333,0.0,0.4583333333333333,0.02564102564102564
4.0,0.0,280.0,33.3,1.3333333333333333,0.0,0.4666666666666667,0.024358974358974352
4.0,0.0,285.0,33.5,1.3333333333333333,0.0,0.475,0.024725274725274724
4.0,0.0,290.0,34.2,1.3333333333333333,0.0,0.48333333333333334,0.026007326007326012
4.0,0.0,295.0,34.2,1.3333333333333333,0.0,0.49166666666666664,0.026007326007326012
4.0,0.0,300.0,33.7,1.3333333333333333,0.0,0.5,0.025091575091575096
4.0,0.0,305.0,33.7,1.3333333333333333,0.0,0.5083333333333333,0.025091575091575096
4.0,0.0,310.0,33.3,1.3333333333333333,0.0,0.5166666666666667,0.024358974358974352
4.0,0.0,315.0,33.0,1.3333333333333333,0.0,0.525,0.023809523809523808
4.0,0.0,320.0,32.6,1.3333333333333333,0.0,0.5333333333333333,0.023076923076923078
4.0,0.0,325.0,31.9,1.3333333333333333,0.0,0.5416666666666666,0.021794871794871794
4.0,0.0,330.0,31.3,1.3333333333333333,0.0,0.55,0.0206959706959707
4.0,0.0,335.0,30.6,1.3333333333333333,0.0,0.5583333333333333,0.019413919413919418
4.0,0.0,340.0,30.2,1.3333333333333333,0.0,0.5666666666666667,0.01868131868131868
4.0,0.0,345.0,29.9,1.3333333333333333,0.0,0.575,0.01813186813186813
4.0,0.0,350.0,29.5,1.3333333333333333,0.0,0.5833333333333334,0.0173992673992674
4.0,0.0,355.0,29.1,1.3333333333333333,0.0,0.5916666666666667,0.01666666666666667
4.0,0.0,360.0,28.7,1.3333333333333333,0.0,0.6,0.015934065934065933
4.0,0.0,365.0,28.4,1.3333333333333333,0.0,0.6083333333333333,0.015384615384615382
4.0,0.0,370.0,28.6,1.3333333333333333,0.0,0.6166666666666667,0.015750915750915754
4.0,0.0,375.0,28.5,1.3333333333333333,0.0,0.625,0.015567765567765568
4.0,0.0,380.0,28.8,1.3333333333333333,0.0,0.6333333333333333,0.01611721611721612
4.0,0.0,385.0,28.8,1.3333333333333333,0.0,0.6416666666666667,0.01611721611721612
4.0,0.0,390.0,28.5,1.3333333333333333,0.0,0.65,0.015567765567765568
4.0,0.0,395.0,27.9,1.3333333333333333,0.0,0.6583333333333333,0.014468864468864466
4.0,0.0,400.0,28.1,1.3333333333333333,0.0,0.6666666666666666,0.014835164835164838
4.0,0.0,405.0,27.9,1.3333333333333333,0.0,0.675,0.014468864468864466
4.0,0.0,410.0,27.7,1.3333333333333333,0.0,0.6833333333333333,0.014102564102564101
4.0,0.0,415.0,28.0,1.3333333333333333,0.0,0.6916666666666667,0.014652014652014652
